BTC_2024-09-14 20:00:00,
BTC_2024-09-14 21:40:00,
BTC_2024-09-14 23:20:00,
BTC_2024-09-15 01:00:00,
BTC_2024-09-15 02:40:00,
BTC_2024-09-15 04:20:00,
BTC_2024-09-15 06:00:00,
BTC_2024-09-15 07:40:00,
BTC_2024-09-15 09:20:00,
BTC_2024-09-15 11:00:00,
BTC_2024-09-15 12:40:00,
BTC_2024-09-15 14:20:00,
BTC_2024-09-15 16:00:00,
BTC_2024-09-15 17:40:00,
BTC_2024-09-15 19:20:00,
BTC_2024-09-15 21:00:00,
BTC_2024-09-15 22:40:00,
BTC_2024-09-16 00:20:00,
BTC_2024-09-16 02:00:00,
BTC_2024-09-16 03:40:00,
BTC_2024-09-16 05:20:00,
BTC_2024-09-16 07:00:00,
BTC_2024-09-16 08:40:00,
BTC_2024-09-16 10:20:00,
BTC_2024-09-16 12:00:00,
BTC_2024-09-16 13:40:00,
BTC_2024-09-16 15:20:00,
BTC_2024-09-16 17:00:00,
BTC_2024-09-16 18:40:00,
BTC_2024-09-16 20:20:00,
BTC_2024-09-16 22:00:00,
BTC_2024-09-16 23:40:00,
BTC_2024-09-17 01:20:00,
BTC_2024-09-17 03:00:00,
BTC_2024-09-17 04:40:00,
BTC_2024-09-17 06:20:00,
BTC_2024-09-17 08:00:00,
BTC_2024-09-17 09:40:00,
BTC_2024-09-17 11:20:00,
BTC_2024-09-17 13:00:00,
BTC_2024-09-17 14:40:00,
BTC_2024-09-17 16:21:00,
BTC_2024-09-17 18:01:00,
BTC_2024-09-17 19:41:00,
BTC_2024-09-17 21:21:00,
BTC_2024-09-17 23:01:00,
BTC_2024-09-18 00:41:00,
BTC_2024-09-18 02:21:00,
BTC_2024-09-18 04:01:00,
BTC_2024-09-18 05:41:00,
BTC_2024-09-18 07:21:00,
BTC_2024-09-18 09:01:00,
BTC_2024-09-18 10:41:00,
BTC_2024-09-18 12:21:00,
BTC_2024-09-18 14:01:00,
BTC_2024-09-18 15:41:00,
BTC_2024-09-18 17:21:00,
BTC_2024-09-18 19:01:00,
BTC_2024-09-18 20:41:00,
BTC_2024-09-18 22:21:00,
BTC_2024-09-19 00:01:00,
BTC_2024-09-19 01:41:00,
BTC_2024-09-19 03:21:00,
BTC_2024-09-19 05:01:00,
BTC_2024-09-19 06:41:00,
BTC_2024-09-19 08:21:00,
BTC_2024-09-19 10:01:00,
BTC_2024-09-19 11:41:00,
BTC_2024-09-19 13:21:00,
BTC_2024-09-19 15:01:00,
BTC_2024-09-19 16:41:00,
BTC_2024-09-19 18:21:00,
BTC_2024-09-19 20:01:00,
BTC_2024-09-19 21:41:00,
BTC_2024-09-19 23:21:00,
BTC_2024-09-20 01:01:00,
BTC_2024-09-20 02:41:00,
BTC_2024-09-20 04:21:00,
BTC_2024-09-20 06:01:00,
BTC_2024-09-20 07:41:00,
BTC_2024-09-20 09:21:00,
BTC_2024-09-20 11:01:00,
BTC_2024-09-20 12:41:00,
BTC_2024-09-20 14:21:00,
BTC_2024-09-20 16:01:00,
BTC_2024-09-20 17:41:00,
BTC_2024-09-20 19:21:00,
BTC_2024-09-20 21:01:00,
BTC_2024-09-20 22:41:00,
BTC_2024-09-21 00:21:00,
BTC_2024-09-21 02:01:00,
BTC_2024-09-21 03:41:00,
BTC_2024-09-21 05:21:00,
BTC_2024-09-21 07:01:00,
