timestamp,open,high,low,close,volume
2024-09-15 00:00:00,60153.1,60283,60153,60194.5,0.85687251
2024-09-15 00:01:00,60194.49,60284,60161.9,60189.37,2.57084139
2024-09-15 00:02:00,60189.37,60289,60162,60171.5,4.43075097
2024-09-15 00:03:00,60199.62,60298,60173.9,60204.91,0.54071199
2024-09-15 00:04:00,60204.92,60297,60174,60200.89,1.82929337
2024-09-15 00:05:00,60175.7,60224.31,60175.6,60202.03,5.30295222
2024-09-15 00:06:00,60175.7,60203.81,60175.6,60175.6,0.61526082
2024-09-15 00:07:00,60203.81,60203.81,60175.7,60198.95,0.59406891
2024-09-15 00:08:00,60198.95,60307,60175.7,60176.1,5.00147914
2024-09-15 00:09:00,60218.16,60218.16,60183.1,60216.52,0.53225146
2024-09-15 00:10:00,60216.52,60337,60183.2,60233.06,3.49398685
2024-09-15 00:11:00,60233,60340,60183.1,60227.44,1.2923604
2024-09-15 00:12:00,60226.94,60341,60183.2,60223.67,4.241218
2024-09-15 00:13:00,60183.1,60224.4,60183.1,60216.58,0.60631351
2024-09-15 00:14:00,60216.58,60224.74,60183.1,60220.98,0.62517083
2024-09-15 00:15:00,60220.98,60244.71,60183.1,60233.92,5.05091508
2024-09-15 00:16:00,60234.83,60344,60183.2,60244.27,4.951606
2024-09-15 00:17:00,60187.7,60345,60187.7,60223.5,0.9942684
2024-09-15 00:18:00,60223.5,60249,60187.7,60227.02,4.66950979
2024-09-15 00:19:00,60227.02,60229.81,60187.8,60226.17,0.40825204
2024-09-15 00:20:00,60226.16,60232.42,60192,60212.98,2.00349711
2024-09-15 00:21:00,60212.99,60239.12,60192,60211.44,4.06208554
2024-09-15 00:22:00,60211.44,60344,60163,60163.97,4.0951303
2024-09-15 00:23:00,60163.97,60298,60146.09,60146.1,1.87621098
2024-09-15 00:24:00,60146.1,60291,60130.97,60173.8,2.32583512
2024-09-15 00:25:00,60131.85,60268,60125.6,60131.42,2.0657969
2024-09-15 00:26:00,60131.16,60257,60101.25,60119.71,12.47251814
2024-09-15 00:27:00,60119.71,60241,60113,60155.49,6.61679273
2024-09-15 00:28:00,60132.4,60267,60131,60160.29,1.0277458
2024-09-15 00:29:00,60131.1,60182.48,60131,60163.88,4.76970996
2024-09-15 00:30:00,60268,60268,60131,60156.65,0.88741678
2024-09-15 00:31:00,60157.51,60267,60135,60160.41,3.39557492
2024-09-15 00:32:00,60140.7,60267,60137.2,60158.31,4.7776946
2024-09-15 00:33:00,60156.3,60267,60137.6,60163.32,1.18495814
2024-09-15 00:34:00,60162.3,60268,60150,60156.74,2.54911217
2024-09-15 00:35:00,60156.74,60269,60130.2,60150,4.730741
2024-09-15 00:36:00,60173.58,60173.58,60148,60158,0.09716838
2024-09-15 00:37:00,60172.84,60178.98,60149.9,60171.73,0.48147024
2024-09-15 00:38:00,60161,60284,60148.7,60171.53,4.77597453
2024-09-15 00:39:00,60171.53,60171.54,60150,60171.4,0.68368748
2024-09-15 00:40:00,60171.4,60207.81,60150,60181.61,15.65244615
2024-09-15 00:41:00,60181.65,60182.87,60139.4,60170.04,1.71025428
2024-09-15 00:42:00,60169.96,60171.05,60143.2,60163,0.82680748
2024-09-15 00:43:00,60149.9,60171.05,60149.9,60171.05,1.26122021
2024-09-15 00:44:00,60168.9,60292,60147.7,60161.75,15.27936163
2024-09-15 00:45:00,60159.87,60283,60117,60117,3.52134314
2024-09-15 00:46:00,60144.25,60144.26,60109.1,60141.67,0.457349
2024-09-15 00:47:00,60141.17,60267,60116.9,60149.8,1.65028167
2024-09-15 00:48:00,60148.05,60171.75,60116.9,60141.61,4.86249697
2024-09-15 00:49:00,60141.6,60151.66,60116.9,60147.16,0.86349679
2024-09-15 00:50:00,60147.16,60268,60116.9,60172.77,1.41843621
2024-09-15 00:51:00,60173.38,60195.59,60116.9,60155.52,5.93678513
2024-09-15 00:52:00,60154.87,60159,60146,60156.3,0.38931378
2024-09-15 00:53:00,60157.54,60163.76,60116.9,60157.57,0.79316189
2024-09-15 00:54:00,60156.42,60182.42,60117,60162.37,4.20227189
2024-09-15 00:55:00,60162.37,60162.37,60117,60162.37,1.58209059
2024-09-15 00:56:00,60162.37,60189.53,60116.9,60165.23,3.88104242
2024-09-15 00:57:00,60165.23,60268,60116.9,60151.96,1.17267624
2024-09-15 00:58:00,60151.97,60265,60117,60160.29,0.85318604
2024-09-15 00:59:00,60163.38,60264,60117,60145.46,7.41275179
2024-09-15 01:00:00,60117,60263,60116.9,60156.67,4.96732359
2024-09-15 01:01:00,60156.67,60265,60117,60156.15,0.2021469
2024-09-15 01:02:00,60154.79,60170.53,60117,60153.78,1.95079643
2024-09-15 01:03:00,60153.78,60178.2,60126,60158.69,4.42864272
2024-09-15 01:04:00,60126,60265,60125.9,60163.61,0.98311964
2024-09-15 01:05:00,60163.61,60265,60126,60166.87,0.31354199
2024-09-15 01:06:00,60133,60272,60132.9,60160,4.58563755
2024-09-15 01:07:00,60166.89,60166.89,60133,60166.88,0.69725998
2024-09-15 01:08:00,60133,60166.88,60132.9,60164.72,0.36042817
2024-09-15 01:09:00,60133,60273,60133,60179.2,5.01529922
2024-09-15 01:10:00,60164,60278,60133,60180.29,2.77525455
